"state","state_abbr","oppose_expansion","gop_governor","percent_favorable_aca","percent_favorable_aca_original_scale","percent_supporting_expansion","percent_supporting_tea_party","obama_share","obama_win","ideology","gop_house","gop_sen","gop_leg","percent_uninsured","percent_uninsured_original_scale","dsh","percent_nonwhite","bal2012","percent_poverty","percent_poverty138","percent_metro","multiplier","low_birthweight","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy"
"Alabama","AL",1,0.4,-0.353847092439527,38.2711108911823,0.510769430411935,0.261595948249585,-0.495292604228814,-0.52,0.568367417322782,0.42,0.4,0.46,-0.0438537509018957,14,0.494770779957651,0.11990256664328,-0.192312167188567,0.404657391572383,0.446915507317557,-0.0119170152754149,0.613802369772533,0.653109951414984,1.04895133818807,0.203752916760355,1.01350775251377,-0.984744603513319
"Alaska","AK",1,0.4,-0.401333156022776,37.4428493677838,-0.254956252368305,0.284345503624928,-0.30896350806532,-0.52,0.0329020837987023,0.42,0.4,0.46,0.565226122735545,19,-0.0897431611560687,0.11990256664328,3.23850923612013,0.141892851590316,0.240963660627438,-0.107219405243706,-0.494603330527186,-0.331123622742967,-0.0783944135770121,-0.166722916527588,-0.410620973830077,-0.109281896527232
"Arizona","AZ",0,0.4,-0.273521798244213,39.6721609154912,0.173789403499893,0.170551915261454,-0.179906213611053,-0.52,0.189700097635993,0.42,0.4,0.46,0.443410148008057,18,-0.291484364186958,0.530095557791345,-0.103217192761558,0.536039661563417,0.549891430662616,0.305217062400023,0.568375906645495,-0.192912177953596,-0.120147959938682,-1.27470412957013,-0.491518226924166,0.283166903156187
"Arkansas","AR",0,-0.6,-0.474745210528686,36.1623814680961,0.2645745465968,0.578725020976021,-0.540104814476317,-0.52,0.521292160412853,0.42,0.4,0.46,0.443410148008057,18,-0.304877036854342,-0.132523889447836,-0.205609924565733,0.66742193155445,0.858819200697794,-0.243147193607317,0.804593514906091,0.327108197885971,0.380894596401353,-0.592339338956062,0.785984228186647,-0.803614388274819
"California","CA",0,-0.6,0.668318169382844,56.0999240847165,0.177424941376878,-0.538831303856311,0.607560068278172,0.48,-0.576082972250116,-0.58,-0.6,-0.54,0.565226122735545,19,-0.0739779907079936,0.971841855950799,-0.230875663582347,0.536039661563417,0.549891430662616,0.682172044395254,-0.494603330527186,-0.278938912462144,-0.662944062640386,-0.466549869979225,-0.235343592126219,0.64542733363319
"Colorado","CO",0,-0.6,0.0320017865773129,45.0011650633043,0.551405759463392,0.026206804468622,0.171711951238361,0.48,-0.0568943618662163,-0.58,-0.6,-0.54,0.0779622238255925,15,-0.252745566634925,-0.00631066140227789,-0.0473666117774635,-0.252253958382785,-0.376891879442917,0.404298641703284,-0.458262160025556,0.251978195887969,-0.203655052662021,-0.535475606404889,-0.72578318900913,0.403920379981856
"Connecticut","CT",0,-0.6,0.446097966133104,52.2239143634457,-0.166071683595067,-0.626310652756126,0.459476775691463,0.48,-0.734508324297691,-0.58,-0.6,-0.54,-0.774749599266825,8,0.363537376383636,-0.0378639684136675,-0.205609924565733,-0.515018498364852,-0.582843726133035,0.612811548366994,-0.494603330527186,-0.461283851824679,-0.245408599023691,0.827530831412613,-0.33983587737275,0.64542733363319
"Delaware","DE",0,-0.6,0.459845622558626,52.4637037667977,0.642190067794243,-0.200613364675351,0.491688549222621,0.48,-0.393241096234329,-0.58,-0.6,-0.54,-0.531117649811848,10,-0.38226091066629,0.18300918066606,0.00316486625576538,0.0105105815992825,0.0350118139373201,0.146038758757269,-0.349238648520666,0.220752191488527,NA,0.715526509720909,-0.00276398948071495,-0.0790935273208124
"Florida","FL",0,0.4,0.147913296174955,47.022917052716,0.299681497501269,-0.00879812644451776,0.0615770904030002,0.48,-0.147716775344779,0.42,0.4,0.46,0.808858072190521,21,-0.374423731858216,0.403882329745787,-0.0912492111221096,0.27327512158135,0.343939583972498,0.622732535200773,-0.0585092845076245,-0.135964122599771,0.172126864593005,-0.371776982393938,-0.228602154368378,0.222790164743356
"Georgia","GA",1,0.4,0.0905112526739151,46.0216990024346,0.419174629157395,0.191331868798811,-0.148537319184774,-0.52,0.273511219106887,0.42,0.4,0.46,0.565226122735545,19,-0.102053365290439,0.466988943768566,-0.161727325221087,0.404657391572383,0.343939583972498,0.352200419839682,0.432096517264382,0.711660794146754,0.464401689124692,0.00559142453657122,0.282061755788055,-0.441353957797816
